country_code, year, co2(tonnes), gdp(USD), pop_rel, pop_tot, electric_sources(Kwh)
ABW,1961,645552.56,,2.238143931,55438,
ABW,1962,708942.27,,1.409621865,56225,
ABW,1963,679087.76,,0.832452558,56695,
ABW,1964,660275.33,,0.592649039,57032,
ABW,1965,592387.01,,0.573468248,57360,
ABW,1966,553944.22,,0.616990878,57715,
ABW,1967,682359.49,,0.587373201,58055,
ABW,1968,634510.49,,0.568529799,58386,
ABW,1969,830405.12,,0.580642385,58726,
ABW,1970,928761.4,,0.57221119,59063,
ABW,1971,808320.97,,0.636272958,59440,
ABW,1972,783783.02,,0.670693326,59840,
ABW,1973,869461.36,,0.671204938,60243,
ABW,1974,788077.16,,0.471968484,60528,
ABW,1975,570711.82,,0.212897716,60657,
ABW,1976,1219127.14,,-0.117120177,60586,
ABW,1977,636759.8,,-0.363781075,60366,
ABW,1978,542288.69,,-0.436627544,60103,
ABW,1979,568871.47,,-0.204858378,59980,
ABW,1980,585434.59,,0.193211026,60096,
ABW,1981,557624.91,,0.780690671,60567,
ABW,1982,623468.41,,1.276347795,61345,
ABW,1983,320424.73,,1.385740854,62201,
ABW,1984,800141.65,,1.015708085,62836,
ABW,1985,936531.75,,0.301918203,63026,
ABW,1986,179536,405463417.11746,-0.607943306,62644,
ABW,1987,447008,487602457.746416,-1.303070407,61833,
ABW,1988,611888,596423607.114715,-1.226909428,61079,
ABW,1989,648528,695304363.031101,-0.076979146,61032,
ABW,1990,1637808,764887117.194486,1.813641093,62149,
ABW,1991,1681776,872138715.083799,3.902018236,64622,
ABW,1992,1461936,958463184.357542,5.44027196,68235,
ABW,1993,1593840,1082979720.67039,6.068410306,72504,
ABW,1994,1612160,1245688268.15642,5.625997562,76700,
ABW,1995,1667120,1320474860.3352,4.616674713,80324,
ABW,1996,1689104,1379960893.85475,3.517889233,83200,
ABW,1997,1744064,1531944134.07821,2.669576442,85451,
ABW,1998,1795360,1665100558.65922,2.114385656,87277,
ABW,1999,1806352,1722798882.68156,1.960557913,89005,
ABW,2000,2377936,1873452513.96648,2.055026783,90853,
ABW,2001,2407248,1920111731.84358,2.22593013,92898,
ABW,2002,2436560,1941340782.12291,2.229056047,94992,
ABW,2003,2561136,2021229050.27933,2.109354335,97017,
ABW,2004,2616096,2228491620.11173,1.757352867,98737,
ABW,2005,2718688,2330726256.98324,1.30203884,100031,
ABW,2006,2715024,2424581005.58659,0.79954624,100834,
ABW,2007,2821280,2615083798.88268,0.384052418,101222,
ABW,2008,2656400,2745251396.64804,0.134267964,101358,
ABW,2009,2627088,2498882681.56425,0.095654625,101455,
ABW,2010,2506176,2390502793.29609,0.210708808,101669,
ABW,2011,2498848,2549720670.39106,0.370125352,102046,
ABW,2012,1348352,2534636871.50838,0.502430116,102560,
ABW,2013,861040,2701675977.65363,0.582349411,103159,
ABW,2014,872032,2765363128.49162,0.594397037,103774,
