,Code,Name
0,ABW,Aruba
1,AFG,Afghanistan
2,AGO,Angola
3,ALB,Albania
4,AND,Andorra
5,ARB,Arab World
6,ARE,United Arab Emirates
7,ARG,Argentina
8,ARM,Armenia
9,ASM,American Samoa
10,ATG,Antigua and Barbuda
11,AUS,Australia
12,AUT,Austria
13,AZE,Azerbaijan
14,BDI,Burundi
15,BEL,Belgium
16,BEN,Benin
17,BFA,Burkina Faso
18,BGD,Bangladesh
19,BGR,Bulgaria
20,BHR,Bahrain
21,BHS,"Bahamas, The"
22,BIH,Bosnia and Herzegovina
23,BLR,Belarus
24,BLZ,Belize
25,BMU,Bermuda
26,BOL,Bolivia
27,BRA,Brazil
28,BRB,Barbados
29,BRN,Brunei Darussalam
30,BTN,Bhutan
31,BWA,Botswana
32,CAF,Central African Republic
33,CAN,Canada
34,CEB,Central Europe and the Baltics
35,CHE,Switzerland
36,CHI,Channel Islands
37,CHL,Chile
38,CHN,China
39,CIV,Cote d'Ivoire
40,CMR,Cameroon
41,COD,"Congo, Dem. Rep."
42,COG,"Congo, Rep."
43,COL,Colombia
44,COM,Comoros
45,CPV,Cabo Verde
46,CRI,Costa Rica
47,CSS,Caribbean small states
48,CUB,Cuba
49,CUW,Curacao
50,CYM,Cayman Islands
51,CYP,Cyprus
52,CZE,Czech Republic
53,DEU,Germany
54,DJI,Djibouti
55,DMA,Dominica
56,DNK,Denmark
57,DOM,Dominican Republic
58,DZA,Algeria
59,EAP,East Asia & Pacific (excluding high income)
60,EAR,Early-demographic dividend
61,EAS,East Asia & Pacific
62,ECA,Europe & Central Asia (excluding high income)
63,ECS,Europe & Central Asia
64,ECU,Ecuador
65,EGY,"Egypt, Arab Rep."
66,EMU,Euro area
67,ERI,Eritrea
68,ESP,Spain
69,EST,Estonia
70,ETH,Ethiopia
71,EUU,European Union
72,FCS,Fragile and conflict affected situations
73,FIN,Finland
74,FJI,Fiji
75,FRA,France
76,FRO,Faroe Islands
77,FSM,"Micronesia, Fed. Sts."
78,GAB,Gabon
79,GBR,United Kingdom
80,GEO,Georgia
81,GHA,Ghana
82,GIB,Gibraltar
83,GIN,Guinea
84,GMB,"Gambia, The"
85,GNB,Guinea-Bissau
86,GNQ,Equatorial Guinea
87,GRC,Greece
88,GRD,Grenada
89,GRL,Greenland
90,GTM,Guatemala
91,GUM,Guam
92,GUY,Guyana
93,HIC,High income
94,HKG,"Hong Kong SAR, China"
95,HND,Honduras
96,HPC,Heavily indebted poor countries (HIPC)
97,HRV,Croatia
98,HTI,Haiti
99,HUN,Hungary
100,IBD,IBRD only
101,IBT,IDA & IBRD total
102,IDA,IDA total
103,IDB,IDA blend
104,IDN,Indonesia
105,IDX,IDA only
106,IMN,Isle of Man
107,IND,India
108,INX,Not classified
109,IRL,Ireland
110,IRN,"Iran, Islamic Rep."
111,IRQ,Iraq
112,ISL,Iceland
113,ISR,Israel
114,ITA,Italy
115,JAM,Jamaica
116,JOR,Jordan
117,JPN,Japan
118,KAZ,Kazakhstan
119,KEN,Kenya
120,KGZ,Kyrgyz Republic
121,KHM,Cambodia
122,KIR,Kiribati
123,KNA,St. Kitts and Nevis
124,KOR,"Korea, Rep."
125,KWT,Kuwait
126,LAC,Latin America & Caribbean (excluding high income)
127,LAO,Lao PDR
128,LBN,Lebanon
129,LBR,Liberia
130,LBY,Libya
131,LCA,St. Lucia
132,LCN,Latin America & Caribbean
133,LDC,Least developed countries: UN classification
134,LIC,Low income
135,LIE,Liechtenstein
136,LKA,Sri Lanka
137,LMC,Lower middle income
138,LMY,Low & middle income
139,LSO,Lesotho
140,LTE,Late-demographic dividend
141,LTU,Lithuania
142,LUX,Luxembourg
143,LVA,Latvia
144,MAC,"Macao SAR, China"
145,MAF,St. Martin (French part)
146,MAR,Morocco
147,MCO,Monaco
148,MDA,Moldova
149,MDG,Madagascar
150,MDV,Maldives
151,MEA,Middle East & North Africa
152,MEX,Mexico
153,MHL,Marshall Islands
154,MIC,Middle income
155,MKD,North Macedonia
156,MLI,Mali
157,MLT,Malta
158,MMR,Myanmar
159,MNA,Middle East & North Africa (excluding high income)
160,MNE,Montenegro
161,MNG,Mongolia
162,MNP,Northern Mariana Islands
163,MOZ,Mozambique
164,MRT,Mauritania
165,MUS,Mauritius
166,MWI,Malawi
167,MYS,Malaysia
168,NAC,North America
169,NAM,Namibia
170,NCL,New Caledonia
171,NER,Niger
172,NGA,Nigeria
173,NIC,Nicaragua
174,NLD,Netherlands
175,NOR,Norway
176,NPL,Nepal
177,NRU,Nauru
178,NZL,New Zealand
179,OED,OECD members
180,OMN,Oman
181,OSS,Other small states
182,PAK,Pakistan
183,PAN,Panama
184,PER,Peru
185,PHL,Philippines
186,PLW,Palau
187,PNG,Papua New Guinea
188,POL,Poland
189,PRE,Pre-demographic dividend
190,PRI,Puerto Rico
191,PRK,"Korea, Dem. People’s Rep."
192,PRT,Portugal
193,PRY,Paraguay
194,PSE,West Bank and Gaza
195,PSS,Pacific island small states
196,PST,Post-demographic dividend
197,PYF,French Polynesia
198,QAT,Qatar
199,ROU,Romania
200,RUS,Russian Federation
201,RWA,Rwanda
202,SAS,South Asia
203,SAU,Saudi Arabia
204,SDN,Sudan
205,SEN,Senegal
206,SGP,Singapore
207,SLB,Solomon Islands
208,SLE,Sierra Leone
209,SLV,El Salvador
210,SMR,San Marino
211,SOM,Somalia
212,SRB,Serbia
213,SSA,Sub-Saharan Africa (excluding high income)
214,SSD,South Sudan
215,SSF,Sub-Saharan Africa
216,SST,Small states
217,STP,Sao Tome and Principe
218,SUR,Suriname
219,SVK,Slovak Republic
220,SVN,Slovenia
221,SWE,Sweden
222,SWZ,Eswatini
223,SXM,Sint Maarten (Dutch part)
224,SYC,Seychelles
225,SYR,Syrian Arab Republic
226,TCA,Turks and Caicos Islands
227,TCD,Chad
228,TEA,East Asia & Pacific (IDA & IBRD countries)
