,Country Code,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,ABW,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
1,AFG,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
2,AGO,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
3,ALB,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
4,AND,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
5,ARB,CM.MKT.LCAP.GD.ZS,,,,,,,,,,54.0384459281666,49.7693068999413,35.5781915604284,34.871766922719004,47.017164641278896,49.478124532535496,48.421658071985505,50.5387522872093,51.32672978425921,49.1349390261839,
6,ARE,CM.MKT.LCAP.GD.ZS,,,,,,,,48.932584528350496,34.02944156019,54.523920376430205,45.37491553628679,26.728180556536998,27.050309969440697,49.862328203633794,53.290099066477296,56.6434800353697,62.0183337934548,63.3801318660633,56.84774114470039,
7,ARG,CM.MKT.LCAP.GD.ZS,16.1290412248255,12.4244152562322,16.9569392155608,27.4280508755432,24.653455736005203,23.946359886693,22.0333391526542,19.8483841980828,11.021843220105099,13.738186364129401,15.0863203529933,8.22006946059374,6.273966253216781,9.61999483859266,11.426903268424198,9.438368633095461,11.407629930336402,16.9193635688358,8.84565671475941,
8,ARM,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
9,ASM,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
10,ATG,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
11,AUS,CM.MKT.LCAP.GD.ZS,89.7817988570072,99.1423092428227,96.3101604368826,125.5186872915,126.761621716089,115.951229338737,146.887176357195,152.18797345906,64.8837252727185,136.010162766031,126.903564765515,85.79010420302659,89.69843546188021,86.66232656044659,87.81755705316759,87.8219081826861,104.9341656424,113.406679900002,88.0672599480507,
12,AUT,CM.MKT.LCAP.GD.ZS,15.2110028628345,12.772180436347599,15.736470468946099,21.5985333287674,29.170833682899197,39.956231443522796,57.3723624191145,60.83189964841289,17.7294243116815,28.5067383749192,32.159809312936,19.778590338839,25.8989361558962,27.361071952169,21.898456355201898,25.1636877353047,30.6093765167635,36.1016446459546,25.6546537083193,
13,AZE,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
14,BDI,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
15,BEL,CM.MKT.LCAP.GD.ZS,77.2552997889041,70.11164719452479,49.602442492916005,54.68261449316179,74.1438226869712,74.81918978407779,97.1194833802089,81.9759850124658,32.455494000593,53.9671292765262,55.873870368889705,43.8769379211775,60.364460327276106,71.75899895868879,70.7950834554547,89.7017564933948,79.43259228284471,87.03570614176711,59.1592779318991,
16,BEN,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
17,BFA,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
18,BGD,CM.MKT.LCAP.GD.ZS,4.10752995306577,1.8119589341552902,27.212992149685398,,,4.75154112600132,5.361123816275731,10.969165781647401,12.791560071209302,20.4228932916052,36.100974188098995,37.0804526859059,,,,,31.8042430478145,34.509617599864605,28.2421354215522,
19,BGR,CM.MKT.LCAP.GD.ZS,0.9814478655676422,0.583988618256317,4.4336431778786105,8.364610715493981,10.801884355189,17.159920348974303,30.251781260863105,48.7884251544182,16.3215596590792,16.6777613744573,14.5748893813535,14.3738730358226,,,,,,,,
20,BHR,CM.MKT.LCAP.GD.ZS,73.09305826596041,73.52222930030659,78.0116950650457,86.9250729444085,102.970993799121,108.742693829694,114.14570776065399,124.658766682006,77.58331031757609,70.8975297892002,78.0131387570993,57.650789601857994,,,66.0948167761557,61.84908329509629,60.1368027792501,61.260328657350705,57.92027236786571,
21,BHS,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
22,BIH,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
23,BLR,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
24,BLZ,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
25,BMU,CM.MKT.LCAP.GD.ZS,61.6627861637443,69.5017474608632,54.6831425561334,69.28658015896241,41.2388512684118,43.6466853021362,49.9331492405573,46.32888485386379,31.298732161819302,23.4257914314225,26.7207412279129,22.2012401520437,26.8512878559547,26.3199915316728,,,,,,
26,BOL,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
27,BRA,CM.MKT.LCAP.GD.ZS,34.504910939362304,33.294036541187204,24.954899834032396,42.0117626558033,49.3557986369129,53.233604257693,64.1225727033392,98.0406995499448,34.9072399276626,80.2178650288198,69.9708225535385,46.97407573846971,49.791199867947704,41.267092597650496,34.3605962705362,27.218410703365503,42.2295435528768,46.4899413998779,49.06409023895121,
28,BRB,CM.MKT.LCAP.GD.ZS,54.6701906134871,58.9511173856545,,,,,,,,,48.26897591293,98.0638628368346,,,,,63.97066418758389,67.1590339713398,68.8353741496599,
29,BRN,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
30,BTN,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
31,BWA,CM.MKT.LCAP.GD.ZS,16.8893284593426,,,,,,,,,,,,,,,,,,,
32,CAF,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
33,CAN,CM.MKT.LCAP.GD.ZS,103.845648114494,83.5528009420388,117.247431137196,102.000061398109,115.082257152494,126.75199430131201,129.290591539646,149.254893838511,66.7246133830795,122.33731129200899,134.56072085969,106.915683445333,112.939210744368,114.755734582775,116.316613942325,102.60798356083299,130.576767928441,143.731072570168,113.106609410357,
34,CEB,CM.MKT.LCAP.GD.ZS,13.4618147432303,10.9686936856358,14.0027587500945,15.008161251157501,22.853811265132602,24.8484516407625,34.3918962975193,41.3886568901889,15.3601872630075,24.691549983894802,27.2255385277954,19.009954280345603,,,,,,,,
35,CHE,CM.MKT.LCAP.GD.ZS,291.233412419713,189.26664160878602,203.26253637896198,206.02800804300702,210.34339979250998,229.684874480645,281.381909559514,265.601418998486,158.800964829098,196.61572710955102,210.584361864857,155.739178554952,184.634531147227,223.774930537701,210.850502887108,223.48500577799098,209.047678079278,248.03217881578,204.379236202399,
36,CHI,CM.MKT.LCAP.GD.ZS,3.96105197368421,7.2855258660508095,3.98939379217274,3.10068748608328,2.15463741438356,6.087270854788881,15.2926162768587,,,,,,,,,,,,,
37,CHL,CM.MKT.LCAP.GD.ZS,77.57519506985129,79.3318967648316,71.4500691594837,114.386505037547,117.854860395333,111.001958795219,112.682347499957,122.63992547777,73.37400542231171,133.84364597714898,156.402814112163,107.15042439326,117.296551607327,95.2460454458606,89.5233019134626,78.038993856929,84.87653189054629,106.09522758848301,84.0755815899638,
38,CHN,CM.MKT.LCAP.GD.ZS,,,,30.896975742111803,22.8972279019299,17.5791008668567,41.6206404464261,126.153085915352,38.7171361982254,70.0384333858625,66.1694009067035,45.184507683185394,43.334224771235505,41.2641176304735,57.5267605411391,74.3315132201806,65.7279052809029,71.7361004219363,46.4786094608176,
39,CIV,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
40,CMR,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
41,COD,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
42,COG,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
43,COL,CM.MKT.LCAP.GD.ZS,,,,,,34.7847334199056,34.8684042492726,49.5637090826239,36.2897059162843,60.4402001504531,72.8762953497859,60.186305581938,70.72837320920671,53.079595154014704,38.5045954801698,29.2881756754019,36.7077220762476,38.9612491903992,31.369674827007398,
44,COM,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
45,CPV,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
46,CRI,CM.MKT.LCAP.GD.ZS,,,,3.02680683319628,8.41008009290556,7.57078521086288,8.316741760222321,8.158174686908769,6.22393930616911,4.80486436924341,3.87704248689578,3.54549064912783,,,,,5.11144614353685,5.17545909758604,,
47,CSS,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
48,CUB,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
49,CUW,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
50,CYM,CM.MKT.LCAP.GD.ZS,,,,,,78.15809088553809,3.7371700068699503,3.6941647648345697,3.46694324473234,3.94692619029388,5.72537124623752,54.3664195672702,46.754501453483705,,,6.703641176646,,,,
51,CYP,CM.MKT.LCAP.GD.ZS,,,,,,,80.4971453282115,71.97409085725509,28.687435274726802,39.5787818077948,26.559090135823997,10.3510663644301,7.98986699451365,8.80608015007752,17.4290037781474,13.612313896916099,12.021160517080801,12.4671658050386,13.2741427163795,
52,CZE,CM.MKT.LCAP.GD.ZS,15.808986505381801,12.069994637327499,12.5213934020325,15.5657684816512,22.5670273065565,25.5989385054079,28.5417749790338,36.4182550662649,17.356437834561,,,,,,,,,,,
53,DEU,CM.MKT.LCAP.GD.ZS,65.3704648316572,55.12806234983021,33.1627930961003,43.227989556740205,42.5217820247335,42.24243143402771,54.7293486032754,61.533377099557896,29.774030661852198,38.0351613685076,42.0957008058884,31.6338382288452,42.1369282998335,51.86818456439,44.7624819895191,51.057133604075005,49.499435295491,61.8643038826739,44.461541834033696,
54,DJI,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
55,DMA,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
56,DNK,CM.MKT.LCAP.GD.ZS,68.116166470737,51.6686417000014,42.9645924144055,55.7740358861288,60.209277934061205,,,,,,,,,,,,,,,
57,DOM,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
58,DZA,CM.MKT.LCAP.GD.ZS,0.520745476586541,0.34553197601723307,0.24287562337703697,0.21022938272379899,0.163015047549443,0.137335585296138,0.08057436049241799,0.0716137434529936,0.0534010312851533,0.0656328577220006,0.0653902919543146,0.0983915535604519,0.0797921053973418,0.0843050561798142,0.0787099679881733,0.0867701491211682,0.258809002633128,0.21097044470548898,0.213756326966008,
59,EAP,CM.MKT.LCAP.GD.ZS,,,,38.913681622805704,32.643780313586895,27.6708888074471,47.792246707493604,115.89484890139799,37.9836475585479,68.49617782127591,67.9679146326029,49.204443568326205,49.658950037564004,46.3856519256962,60.8246154295494,73.25352553148001,66.589994591952,73.6131938279931,50.349297936050206,
60,EAR,CM.MKT.LCAP.GD.ZS,27.412845157579497,22.2598414341298,23.2818684782362,35.2459471215858,44.807937870981704,50.485028357101896,60.6088529599554,81.4345176520926,35.1964439275193,63.6938370959272,65.63070481780521,45.542386125102794,53.1994847245333,53.62985801704289,56.1495935438459,51.8934863003564,54.015488417672394,65.3828673442814,56.7805332316729,
61,EAS,CM.MKT.LCAP.GD.ZS,70.74092419995691,63.80248239132379,60.7019622634136,71.1833573611916,75.6598802483914,86.6084367802173,102.944614674934,133.405678083147,60.9550347126303,92.6494377999645,95.0751087251391,70.8802108874223,75.7744298812241,82.730646631919,90.2348261443387,100.431831066437,95.3129786260243,112.287639797791,84.6587772099537,
62,ECA,CM.MKT.LCAP.GD.ZS,,,,,,,,,,46.7880898990917,47.3208486657919,29.8871089823459,35.429384432428606,28.4883156930841,19.5504878141281,25.6249164555592,36.5183244366327,33.2691572835826,27.9948498305973,
63,ECS,CM.MKT.LCAP.GD.ZS,98.5834109093511,78.1955414467341,60.4957622046566,68.2559090106311,69.8951749599722,72.0589301526162,89.22301705222971,89.0068725401276,41.4876974936177,60.4666532402889,61.397503889472894,45.7570903728784,55.52389412277571,63.021845742970896,55.9675574251548,,64.6997910746628,75.2587940512212,,
64,ECU,CM.MKT.LCAP.GD.ZS,4.0757834072591,,,,,,,,,,,,,,,,,,,
65,EGY,CM.MKT.LCAP.GD.ZS,,,,,,,86.9863139323296,106.74041998899,52.8061848129537,48.2623525841489,38.5022043504061,20.698849668076697,21.1838728826058,21.3557139158246,22.9384115481221,16.5891779311347,10.0090792809685,19.775787985014396,16.7422986200252,
66,EMU,CM.MKT.LCAP.GD.ZS,84.22123024286779,66.5461990791846,49.0635218676482,56.4713624311998,58.9777594836864,59.75411999862639,76.8969833960913,80.41052982252221,36.4028976578086,58.067670557244504,58.088552135188294,45.329865142716294,55.41921204728621,66.439995153132,59.1221941766848,64.9620320646802,63.859816351701404,77.8041775887121,54.7730464114355,
67,ERI,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
68,ESP,CM.MKT.LCAP.GD.ZS,84.4761604023147,74.6394136353715,65.432818161782,80.2042746196399,88.1528183627189,83.2326649390688,105.047980134944,122.26043925771201,58.3520670604331,96.56410928278922,82.46686909256759,69.7191301538153,75.1112137122461,82.4177821524955,72.50726214029591,65.8672577523381,57.18407928734901,67.8859722160933,50.9985606870881,
69,EST,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
